如何清空实时目的地	如何取消实时目的地设置
乘客未支付超过流感有迟到补偿？	何时收取迟到费用
我想请问我接单成功，并成功送完人，这个收入的费用公司如何收入	你们的车费是怎么扣的
乘客接收不到账单消息	已结束订单未收到支付消息
如何收费，收费标准怎么定	滴滴打车如何计费
乘客未支付超过几天后才介入调解	乘客未支付
我要修改账号	如何修改账户名
怎么刚刚从马沧湖路到雪松路没有奖励呀	未收到奖励
接到12单以上奖多少	奖励活动有哪些
我的滴滴软件怎么不出声音了？	软件无声音
看到了8月17日账单至今末支付	乘客未支付
你们说2月2日来短信给我补偿50％，3一5个工作日到帐。我没收到啊！	补偿到账时间
没找到预约地点，而且乘客又不接电话怎么办	乘客失联
湛江有快车司机使用抢单器	作弊举报
乍么我昨晚快车赚的五十块车费才到帐了37块～还十几块钱那去了～	查询扣费明细
提现需什么手续？	没补全银行卡信息如何提现
我21号奖励～小费没给我～今天小费给我了！但是奖励没发给我！18221366746.何师父	未收到奖励
今天早上我为什么听单1.7小时就没有接到一单呢	系统未播报订单
我的申诉到现在都没有人与我联系，且我的账户还封着呢。	客服何时回电
升级专车一定要B级车吗	加入专车需要的条件
超出怎么算	滴滴打车如何计费
天宏小学到刘庄村的订单司机马上我要到了又不用车了，这样的很麻烦	乘客未上车产生费用
为啥会出现订单被抢现象	派单被抢原因
20天都没有支付？	乘客未支付
我的车收费标准	滴滴打车如何计费
你们成天奖励，我都推荐成功三个人了，你们一分钱都没给一分，伤心到家了	未收到推荐奖励
今天有一客户我送到她地点了，我接错了。她没有办法支付我车费。请问你有什么办法让她支付车费吗？	乘客未支付
我是外地车牌，注册地我选择的是深圳，在深圳跑滴滴有享受奖励和补贴吗	异地车牌是否有奖励活动
您好，请问有的乘客离我太远，不接单，会影响下次接单吗？	指派订单距离乘客较远
司机没有找到地方 单方面取消了 为什么我要支付费用？	乘客未上车产生费用
快车如何只接预约单	如何设置行驶中听预约订单
我想问下雪弗兰迈锐宝够专车级别吗	加入专车需要的条件
夜间计费流程	滴滴打车如何计费
客户里的太远可以不接单吗	指派订单距离乘客较远
我已经做完了就在等待已经好几个月了一直分配不了我附近的公司	什么时候给我分配租赁公司
我今天遇到两次客人中途取消订单	如何申请补偿
我接单时显示服务器出错，无法接单，然而接单成交率却成了问题，请问如何解决？	操作过程中提示网络异常
跑了几天，觉得很不划算呢	如何增加司机收入
我咋晚最后一单超级任务奖怎么没发给我	未收到奖励
怎么查看加收到的过桥高速等收费	高速费如何处理
银行卡怎么提不到现	提现支持的银行卡类型
我没坐车司机计我的费	乘客未上车产生费用
早上5点10分，是多少一公里	滴滴打车如何计费
翻倍奖付完帐都显示怎么刚才的没有	未收到奖励
我问下：滴滴计算的里程和车上的实际里程不一样，明显会少，是什么原因呢	导航显示公里数不准
二月四日早九点四十九实时指派订单没有翻倍奖励	奖励活动有哪些
怎么改成随机订单	指派订单模式如何设置
您好我想咨询乘客到达目的地后是要求他立刻付款吗	如何支付订单
我到地方了，空跑的怎么办	如何申请补偿
问什么我接不了预约订单	如何设置行驶中听预约订单
昨天接客人，到了接客地点，打电话给客人说不用接了，我就点了取消订单	乘客失联
今天一点四十七分客户在我接单途中取消订单，有补偿？	如何申请补偿
为什么我一月二十一日21：49的订单没有0.2倍奖励	未收到奖励
距离太远，有时候因堵车，有时候在单行道上，距离远了怎么去接剩客，其实我们也乐意去接，可是剩客他她不等啊	司机无法服务乘客
跑快车多少钱一公里，司机车费怎么算	滴滴打车如何计费
我2015年12月25日晚上和2015年12月31日的两单，乘客还没有支付？？？？我申请过投诉了，怎么还没有结果呢？总计有100多块钱呢？？？？？？？？？	乘客未支付
乘客发单为什么两个车都会抢单成功？？？	乘客同时叫两张订单如何处理
我昨天跑了六单，怎么奖励现在都没到账	未收到奖励
乘客没取消订单，我误操作了改派订单。	改派有什么处罚
2016年一月十六号的抢单奖励	未收到奖励
我得滴滴出行上为什么没有专车选项	滴滴专车支持的城市
我以打完车了，让交0.20元，可无法操作，怎么办	如何支付订单
没结账的乘客咋办	乘客未支付
刚才不小心抢了一个单子，不能按照指定时间到达，改派了，但被封禁了一天	改派有什么处罚
刚刚我接了一个单，但是到达地点后，乘客电话打不通，也看不见人，我等了10多分钟，申请改派，我的账号就被封禁一天	乘客失联
多次不接指派会怎么样	指派模式拒单是否有影响
刚才同一地点有2人打车，乘客上错车我按改派就禁我24小时，我请求取消	改派冻结了能提前解禁吗
乘客应不满系统收费金额，不付车费，车主怎么办	乘客未支付
为何我在市中区，高峰时间等单，一个多小时都不派单给我呢？	系统未播报订单
今天投诉反馈因司机不识路多收费用，比以前常规多了约13元，该怎样支付？或支付后怎样退回给我？	司机绕路怎么办
司机实际收取费用怎么计算？	你们的车费是怎么扣的
我有一单未付单，已经很多天了。多次催款未付，随着单子越来越多，要上拉很久才能看到此单情况，能否将未付单单列出来，谢谢！	乘客未支付
问下怎么改电话号码啊	如何更改电话号码
设置中怎么没有专车和快车选择了？	如何选择听单级别
现在利润怎么这么低呀	如何增加司机收入
我的车型被删除了，怎么办？	注册滴滴快车上找不到我的车型怎么办
2.29～3.4号22点后满5单就奖励30，我做了6单也没看到奖励	未收到奖励
我到了接人的地方，乘客又取消，没补偿？	如何申请补偿
那天才有金额翻倍	奖励活动有哪些
到账有消息提醒	提现成功有短信提醒吗
我自身账户是专车司机吗	如何加盟滴滴专车
压根没坐车	乘客未上车产生费用
你们承诺的24小时到帐，怎么还会到呢？	提现到账时间
请问今天第一单的金额是怎么回事呀？	你们的车费是怎么扣的
能不能不要派超过4公里以上的距离的单子	接单距离较远
今天怎么我的订单收费都有误，导航也不准，怎么回事	导航显示公里数不准
那还抓滴滴快车	滴滴专车支持的城市
请问我这车轴距2699就不能申请专车吗	加入专车需要的条件
一天只派一个单	系统未播报订单
我的近段时间上线都没有接单的消息，怎么回事	之前一直没接单为什么现在接不了
我赶不上八点接客人，取消不了怎么办	如何取消订单
指派完成率，客户自己取消的订单也算未完成嘛？	怎么计算查询完成率
快车升级专车线上早就好了，线下怎么要这么久呀	专车升级时间
被交通抓了咋办	滴滴是不是合法
目的远怎样补偿	如何申请补偿
滴滴课堂	客户端操作流程
在线支付成功了，显示还要支付	已经扣款提示支付失败
二月4日到17日满8单新人奖励没发放怎么回事？	未收到奖励
提现要收费的吗	如何提现
我是专车考核期，连续二天没看到奖励了？	未收到奖励
乘客网上支付14元，到我的账户是10.51元。是怎么算的?	你们的车费是怎么扣的
昨天两个小时没接到订单，今天也很久都没有订单，之前都不会	系统未播报订单
为何订单还不能抢，别人已抢到	抢单提示被抢
我在16.49分的时候客人支付了一个订单，是15.80元，为什么到帐只有9.57元外加三块多的奖励。	你们的车费是怎么扣的
由于时间时间关系，无法接指派订单怎么办啊	指派模式拒单是否有影响
我之前反映的情况，为什么半个月没给我回复？	客服何时回电
难道每次都要从支付宝客户端进吗 ?麻烦	乘客怎么绑定支付宝
我刚送人到机场，为什么客人付款里没有高速收费的钱？以前都是一起到账的！	高速费如何处理
怎么有些提取了36%的利润？	你们的车费是怎么扣的
滴滴现在合法吗，去机场运管会抓吗	滴滴是不是合法
做滴滴打车对车辆有没有年龄限制	加盟车的车龄要求
我昨天的订单数在规定时间内达到10单，为什么奖励还没到？	未收到奖励
请问怎么才能进司机端登录呢	客户端操作流程
服务评分最近几天怎么没有变化，接了50余单了	服务评分是如何评定的
刚才下单坐快车预计收费9元，结果到了目的地收费24元，这也太离谱了吧？	什么是预估费用
下载网止	软件如何下载
司机不认路一直不到，我取消了，还需要收费吗	司机迟到
专车去宝安机场走的是高速吗	去机场的订单，过路费怎么算
没给！！	未收到奖励
请问今天有暴击奖吗？	奖励活动有哪些
如果遇到交委查非法营运，我们司机应该怎么办？	滴滴是不是合法
奖励10元，怎么到帐9.82元	收到奖励金额不正确
都有几单未支付了	乘客未支付
我的钱包为什么点不开了	如何查询账户余额
我设置一公里范围订单提醒，为什么系统老是乱出啊	接单距离较远
昨晚上最后一个订单，是确定在位置上车的，接单时乘客电话打不通，到位置十分钟后电话听不清楚，再联系被拒绝接听了，到今天我已经多次打电话都是用户忙，迟到计费已经二百多了，这乘客是故意的吗？	乘客失联
您好，今天我的三个订单都是被乘客取消了！没达到75%，这种情况该怎么办？	乘客取消订单是否算取消率
今天不接单明天有奖励吗	一天不接单有影响吗
我的现金怎么还没有到帐，请问是什么原因	提现到账时间
新人奖能不能重复拿？	新人奖活动周期
司机有意走弯路，造成订单多了20元怎么处理呢？	司机绕路怎么办
乘客付费和实际费用不一致	你们的车费是怎么扣的
我之前两单都是再去的路上 ? 乘客取消了 ?这种情况怎么办	如何申请补偿
外市办的银行卡能不能到账？	提现支持的银行卡类型
新人帐号，跑了15单怎么没奖励	未收到奖励
客户两个月未付款、还未解决！滴滴太垃圾了	乘客未支付
我是a级怎么能转b级	车型为什么会降级
我车牌照更换了，怎么改啊	如何更改车辆信息
体现已经过了48小时了	提现到账时间
请问现在这单我在哪里点付款	如何支付订单
遇上运管怎么办？算不算非法营运？	滴滴是不是合法
我今晚跑了八单，感觉公里数不对，	导航显示公里数不准
但我有朋友确实被抓了/但你们并没有处理	滴滴是不是合法
怎样微信聊	如何关注滴滴微信公众号
因为乘客找别的车就	如何取消订单
为什么2016年1月1日0-3点的奖励还没有到账	未收到奖励
昨天的翻倍奖好久到帐	未收到奖励
今天不小心上线了，如果今天没有完成率会不会影响昨天的奖励	什么情况会影响奖励
我上星期的王牌司机排名是多少？	怎么查看司机排名
发单的时候显示8元，到家后要20元了，差太远了吧	滴滴打车如何计费
计费方式 你们系统还要收取20%的费用真垃圾	你们的车费是怎么扣的
业务分成能说详细点吗	你们的车费是怎么扣的
差了好几张发票没给我开了。	发票为什么还没有寄到
怎么修给头像	如何更改头像
3月16号的新人奖励	新人奖活动周期
请问现在快车专车发票只能按行程开具了吗？	如何申请发票
我注册时，车牌写错一个数字	如何更改车辆信息
卸载重装之后钱包还是打不开	下载的滴滴打车软件怎么不能用
如果我们按乘客的出发地去接他，跟实际位置差很远啊，	系统定位错误
等了十几分钟还没等到乘客，这个有没有费用	如何申请补偿
评价时一不小心发送出去，只给师傅两个星，要改回五个星，怎么办？	乘客评错星级，星级能否修改
昨天两点多接单订单，到乘客上车点，乘客放我鸽子自己回家了，乘客却说是我无法去接她所以取消订单，我正在页面找你们申诉，跳出其他订单不小心点到的，你们如何维护司机权益？就是这样嘛？不可理解！	乘客取消理由司机无法来接我
我现在成为滴滴司机了没有。	如何加盟滴滴专车
车费到现在都没给	乘客未支付
我原注册手机号码准备换号	如何更改电话号码
请问去接乘客到地方了 乘客却取消了这样有补偿吗	如何申请补偿
帮我去掉其他费用	什么是其他费用
济南最近查车查的很厉害，大家都不敢出去跑了，怎么办？	滴滴是不是合法
我接到短信，怎么密码不正确呢	登录提示登录失败
新闻在播，现在在查快车，还敢不敢跑哟	滴滴是不是合法
发布行程，提示开通微信支付	为什么不能支付
我到达目的地的时候，乘客因为其他原因不坐车了，我应该怎么取消滴滴打车	如何取消订单
如果运输上抓到了怎么办	滴滴是不是合法
补两笔未支付的车费，以后就不补了吗	乘客未支付
系统派单有误，相距7公里的6笔订单派给我，我无法接单导致成交率下降，该怎么办？	指派订单距离乘客较远
我要举报恶意订单	作弊举报
有朋友想做滴滴司机怎么做？	如何推荐司机加盟
昨天高峰的奖励没有到	未收到奖励
我车牌是江西的，我在上海跑专车，绑定那里的银行卡	本人本地银行卡什么意思
还在倒数，我还不能抢单，就被抢了，怎么回事？	抢单提示被抢
快车多久才能转为正式	快车审核时间
用户费用和其它费用？？	什么是其他费用
我抢单以后发现距离太远，又点改派，就封号一天了，能不能解封，新人不懂。	改派冻结了能提前解禁吗
乘客咋日9:30分下单算不算在高峰时段	奖励时间怎么计算
客户端申请升级，补充资料并且通过了考试，说48小时内短信通知，但是已经3天了，没有任何消息	专车升级时间
请问一下凊处缓存，是清处手机里面的吗？	手机如何清理滴滴缓存
高峰期完成了四单，却没发	未收到奖励
请问我的钱包余额为零做完车如何支付费用，	如何支付订单
空驶多少公里以上有空驶补贴	如何申请补偿
一天打300遍也打不通	客服热线打不通
大概1.31前有活动，完成4单奖励10元，我完成了活动未收到奖励	未收到奖励
更换车辆后怎么处理	如何更改车辆信息
己经注册成功。只是换新手机号	如何更改电话号码
没有什么红包之类的活动。是统一的活动。上周优惠15元，下周5折。我都没有，？	如何领取优惠券
您好，新乡过年会有活动吗？	奖励活动有哪些
我是杭州牌，能在成都注册吗	可以异地注册滴滴打车吗
现在还欠你39元	查询扣费明细
预约单太远的不要发送啊	接单距离较远
乘客超时取消的5元补偿费什么时候到账	补偿到账时间
还是不放心啊	滴滴是不是合法
有半个小时了，	系统未播报订单
当时没有支付，过后支付会多收钱啊？	乘客未支付
1月29日华兴小区到太和的订单麻烦取消一下	如何取消订单
我怎样都试过，怎么两小时还是没订单	系统未播报订单
我不想在注册的城市跑了，想去外地，注册外地信息	可以异地注册滴滴打车吗
包裹遗落在车上了怎么办	乘客遗失物品如何处理
刚才有一单，司机绕路，本来40左右的车费，结果绕出了90多，怎么办，多了我肯定不会出	司乘双方对费用有疑问怎么办
我昨天有事没有出车今天又限号～我明天出车奖励有影响？	什么情况会影响奖励
指派律下降会影响订单吗	接单率/订单率/派单率/指派率
拉萨费用	滴滴打车如何计费
我一单行程45·2元收入怎么只有26元	你们的车费是怎么扣的
自家车	私家车无法注册的原因
我做快车，你们的提成怎么算的？	你们的车费是怎么扣的
订单总让别人抢	派单被抢原因
帮我查一下拼车奖和抢单奖	奖励活动有哪些
我的怎么一直是指派模式呢	指派订单模式如何设置
星级怎么自动掉了	星级如何评定
新朗逸为什么是A型车，有什么办法升级成专车嘛？	滴滴专车的分类
怎样才删除行程订单	订单是否可以删除
今天有几个单派远了，又堵车，还被乘客骂	指派订单距离乘客较远
有屁用查看到未付我们都没办法要乘客支付，你们只会踢球似的	乘客未支付
我在胶州，订单全部是青岛市区的，太远了	接单距离较远
麻烦帮我查看前几天的一笔未支付订单需要怎么处理，谢谢	乘客未支付
我是新快的司机为什么一周了还没新人奖？	新人奖活动周期
乘客不按照系统计算的钱付钱，最后拒绝付款	乘客未支付
提醒今天17：19分的乘客付款	乘客未支付
我昨天有几单在接乘客过程中或是已经到约定地点了，乘客取消订单有空驶补偿吗？	如何申请补偿
在机场接单出来的过路费也需要乘客承担吗	去机场的订单，过路费怎么算
今天接到一个本周二接过的一个客人，会算作弊吗	司机是否可以接同一乘客
请问现在的5元劵活动限制次数是几次？	优惠券使用次数限制
我1号到3号的冲单奖还没有发够给我	未收到奖励
请问星级是怎么评判的	星级如何评定
小费不会加入到流水吗	流水都包含什么
客户联系不上改派为什么要扣我的钱	乘客失联
昨天我到达指定接单地点，乘客取消了，怎么补偿	如何申请补偿
我有两次空驶 ?请问有空驶补偿吗	如何申请补偿
您好，昨天的奖励怎么才到账一个时段的呢？	收到奖励金额不正确
请问我提现转帐已经30多小时了，到现在还未到我的帐号，什么原因？	提现到账时间
从推荐已经20天了！	未收到推荐奖励
是收现金呢还是当时就让乘客自己支付。	高速费如何处理
我叫的尹师傅车他没来帐单要我支付怎么办	乘客未上车产生费用
外地车牌在京十二单奖励	异地车牌是否有奖励活动
我推荐司机成功激活并跑满十单全部支付了为什么我还没拿到推荐奖	未收到推荐奖励
我想换一个车号怎么弄	如何更改车辆信息
我！昨天接了并完成了6单高峰l，但今天奖励才60元	收到奖励金额不正确
拼车不成功怎么计费	拼车的计费方式
听说石家庄这阵子又有运管处查处滴滴快车了，万一被查处，应该怎么办？     什么时候才能给滴滴披上合法的外衣呢？	滴滴是不是合法
早上6点接的单，到7点才完成算平峰还是高峰	奖励时间怎么计算
什么是预约	什么是预约订单
都试了，还是没有订单	系统未播报订单
想咨询下我现在拿老婆的车来跑如何更改车辆信息？	如何更改车辆信息
我车是本田xrv 可跑一趟收费怎么这么低	滴滴打车如何计费
我下车了，司机一直没结束在走，多出来的费用怎么算	计费错误
我的车牌号是益阳的，现在在嘉兴区域接单，奖励活动对我有效吗？	异地车牌是否有奖励活动
今晚我接了个刷单的～打电话不接～一分钟不到就取消了订单～	作弊举报
昨晚坐快车，车没有来接我，还结束行程，让我付钱	乘客未上车产生费用
那我是唐山的车牌。我实际在天津市生活怎么办	可以异地注册滴滴打车吗
您好，我朋友五菱荣光面包车，可以申请做快车吗	加入专车需要的条件
您好请问我1月19日的快车奖励为何还迟迟不到账呀	未收到奖励
当时消息说的是24小时到账	提现到账时间
新手奖励还未到.	未收到奖励
账号被封可以重新申请吗	已注册的如何再次申请加盟
司机端软件是在百度里下吗	软件如何下载
想注销滴滴账户	我要注销滴滴快车账号
用，账号15657177618我把取款密码忘了麻烦你再发一遍给我谢谢！	登录密码忘记
为什么我的账号一直看不到奖励	奖励活动里面收不到信息
今天从机场到雅居乐得订单为甚没有奖励？	未收到奖励
我能就接到机场的活吗？	包车和接送机服务
刚才一单乘客在汉阳大道上离我有七八公里，而导航显示离我只有二公里左右，乘客只好取消了，已第二次出现这样的问题	系统定位错误
拼车需要预约么	什么是预约订单
刚刚接到订单，对方马上取消！明显是在为司机跑单，对于我们来说既影响我们的成交率，又影响我们的订单，请问怎么办	乘客刷单提高取消率
我的已经到要求了，为什么没有发奖励	未收到奖励
是同省份的	可以异地注册滴滴打车吗
指派的单子为什么会被别人抢走	派单被抢原因
完全符合要求	加入专车需要的条件
热点区等了一个多小时啦？！	系统未播报订单
您好，乘客未付款怎麼办？	乘客未支付
怎么快速收车	客户端操作流程
下午坐车明细清单怎么有停车费8.0元和路桥费3.0元？	停车费如何处理
请问我的推荐奖什么时候到账，已经过去三四天了	未收到奖励
最后的总额1.77%扣除跟本不合狸，你们等于是变相扣掉原先我们代付的路桥费或者停车费	1.77%劳务费是什么
本月十九号星期二体现十元，为什么还没到账，也没有返回钱包里	提现到账时间
到达制定位置，乘客超过15分钟未上车，改派订单有没有影响！	改派有什么处罚
为什么乘客取消订单也算我拒单呢？	乘客取消订单是否算取消率
同事搞滴滴快车被运管逮到，怎么办？	滴滴是不是合法
两个空驶补偿	如何申请补偿
3号根本接不通`	客服热线打不通
叫不了车，咋服务的？？	为什么不能叫车
起步价格与车价有关系吗？	滴滴打车起步价
不小心提前按错了到达怎么办	错误点击到达约定地点
为什么我高峰没奖励倍数，咋天我百分之百4.7星	未收到奖励
我投诉了一位司机是没到指定地点就点了他已到达，然后十几分钟没到，我取消订单，怎么还要收费用？	乘客未上车产生费用
我15日跑了15单，为什么只给我30元奖励	收到奖励金额不正确
因为今天的奖励活动，好多车刷单	作弊举报
别人推荐的我，7个工作日跑8单有100块奖励，推荐人都发了，我到现在没有	未收到奖励
等预约的客户停车费怎么算	停车费如何处理
我没有消费，但是让我付钱	乘客未上车产生费用
遇到查车的怎么办？	滴滴是不是合法
怎么昨天提现，今天还未到的？	提现到账时间
今天下午去瑞星家园的没有支付，打电话没有接，不过没有到24小时	乘客未支付
客户不给钱，怎么办？	乘客未支付
我昨天有一单没有付费怎么办？我已投诉24小时没付费了	乘客未支付
1月19日07：05发起的提现，现在还没到账。	提现到账时间
去到了塞车迟了三分钟，乘客说不用了怎么取消订单	如何取消订单
麻烦给我个鄞州区的服务号码谢谢！	滴滴的客服电话
支出了210元怎么还没到账	提现到账时间
我推荐的司机已经注册了	未收到推荐奖励
今天预约的客户明天有没有加倍奖励	奖励活动有哪些
指派模式没抢有影响没	指派模式拒单是否有影响
乘客在旅途中要求下车啊！	乘客上车后中途下车怎么办
麻烦问一下，15号晚上有一单乘客没有付费咋个办？	乘客未支付
18,19号的奖励（就是完成12单奖100的）怎么还没有给？	未收到奖励
我是车主，怎么抢单	客户端操作流程
我的司机端显示不了钱包和订单详情。	客户端操作流程
客户因手机问题没收到付款信息，要求重新发送	短信能否重新发送
能把电话号给我改了吗	如何更改电话号码
取消率怎么给我减了一半呢	取消率计算公式
快车是商务车吗	滴滴专车的分类
我19点17分钟的时候打了一个快车 没有上车却被要求付款了	乘客未上车产生费用
我今天第一天出车就碰到两位乘客没有支付怎么办？	乘客未支付
推介有要求吗	加盟车的车龄要求
昨天的抢单奖励未到	未收到奖励
县级市有快车吗？	滴滴专车支持的城市
我己经是铜牌了怎么还要扣百分之二十呀	查询扣费明细
乘客离上车点6公里，我无法服务	司机无法服务乘客
乘客未支付需协调多久	乘客支付时间
滴滴打车，能给现金？	如何支付订单
怎么会扣5元这么厉害	查询扣费明细
我投诉了一个未搭车就产生费用的，怎样处理了？	乘客未上车产生费用
成交率几点更新	成交率显示不正确
少发一个冲单奖	未收到奖励
为什么今天奖励不到账	未收到奖励
我跑了二十多单了.咋还是四点五八星呢？好久才能升到四点六星	星级如何评定
才2公里多	计费错误
推荐了两位司机都没收到奖励与行车记录仪的？	未收到奖励
我有两台车可以用一个驾驶证注册两个滴滴快车吗	同一个账号可以注册两辆车吗
推荐司机只要在30天内完成10单就算成功推荐是吗？	如何推荐司机加盟
我的车是外地牌照，能在其他县市地区跑滴滴打车吗？	可以异地注册滴滴打车吗
滴滴我昨天高峰时段奖咋没下来？	未收到奖励
我15号的指派成交率怎么只有76%呢	成交率显示不正确
完成任务奖励从19号到21号没来	未收到奖励
实时模式，刚才被抢单，为什么	派单被抢原因
都过了一个多月了，也没见你们处理呀？	乘客未支付
我从建设路到营门口五里墩中一巷平常只要十多块 今天晚上叫的车司机在其他软件上接了单子 绕了很远的路 到了我的目的地车费要70多	司机绕路怎么办
专车评级	加入专车需要的条件
怎么我今天的超级任务奖励只有一笔15元到帐的	未收到奖励
我只收到早晚高峰奖励	未收到奖励
到达指定位置,被乘客取消单,怎么办,白跑了?	如何申请补偿
乘客付现怎么处理	如何支付订单
这星期是金牌，怎么还抽水	什么是奖牌权益
请问接单模式昨天有一公里范围内的订单，今天怎么设置不了啦	司机端无法设置听单距离
13073068110帮人刷单怎么办	作弊举报
系统计算的里程与实际相差太多	导航显示公里数不准
您好，我的订单还有两笔没有支付，帮我给乘客发个信息，谢谢	乘客未支付
今天平峰接10单／40元未收到	未收到奖励
今天我叫了滴滴，可是有一张7元的抵扣券不能用，提示说超过使用限制，什么原因，明明钱包有一张这个券的	优惠券使用次数限制
抢完订单打电话给乘客乘客又不要车了怎么办？	如何取消订单
我刚刚打车 订单没收到	如何查询订单状态
空驶补偿的认定	如何申请补偿
在跑滴滴送客过程被运管抓了，这问题怎么解决？	滴滴是不是合法
我从成都改到凉山	城市如何更改
错误操作导致取消订单，怎么办？	误操作了取消订单怎么办
有什么办法可以恢复星级呢	如何提升星级
是乘客主动取消定单？还扣司机成交率？	乘客取消订单是否算取消率
已到达目前最后一订单的导航位置，乘客未上车，且手机已关机，联系不上	如何取消订单
3.3-3.9新人奖没到账？？？	未收到奖励
我有一单，接单到到达地方后乘客取消了订单，有补偿吗？	如何申请补偿
可以为别人滴滴吗	乘客可以帮别人叫车吗
我有3单没收到钱！帮俺催下呗	乘客未支付
为啥好评是100％  星确是4.9星	星级如何评定
可是还让我输入专车登录密码我不知道！	登录密码忘记
运管察到怎么办	滴滴是不是合法
为什么给我派的单子离我2 0开公里	指派订单距离乘客较远
我不知道到哪里下载“滴滴打车-司机端（非出租车的）”	软件如何下载
今日有笔账单奖励未到是怎么呢？	未收到奖励
今天为什么我的钱包显示早高峰八点晚高峰十点的单都没奖励，反而晚九点的单反而有奖励呢	未收到奖励
4.8是怎么评的？	服务评分是如何评定的
一秒钟就被抢了	抢单提示被抢
因为本身就无利可图，太远接人，会亏损	接单距离较远
分成比例不对	你们的车费是怎么扣的
以前都是几个小时到帐	提现到账时间
乘客两天还未付款，你们能从他帐户自动扣钱吗？我这显示还未支付	乘客未支付
20日的实时奖励怎么没有啊	未收到奖励
为什么我的账户连续两周都不给提现	可以提什么时候的钱
昨日奖励，今日怎么还没到账？	未收到奖励
现在快车计价变低了？	滴滴打车如何计费
为何经常派2公里外的单，你们算的是直线，实际走起来就不止了，每次都亏本接单	接单距离较远
上一单到达顾客指定地点，联系乘客已乘坐其他交通工具，空驶补偿怎么办？	如何申请补偿
请问三月九号我有没有奖励？	未收到奖励
为什么我的升级审请这么久没回复	专车升级时间
我21号和22号的高峰冲单奖为什么都没有发呢？	未收到奖励
我已经发出付款通知，但客户说没有接收到？怎么回事？	已结束订单未收到支付消息
今天的实时订单都很远 ?乘客都等不了	指派订单距离乘客较远
昨晚打了一个快车，司机没接到我开始计费，我在雨中等了很久，他到最后都没有接到我	乘客未上车产生费用
我的两单还没到账，	乘客未支付
如果流水100平台扣多小？	你们的车费是怎么扣的
实时订单和全部订单的区别？	实时订单和预约订单的区别
我50元的单，到我怎只有36元的车费	你们的车费是怎么扣的
刚才去接乘客.乘客联系不上.我不会操作.点成改派了	乘客失联
那我提现的话是提流水的钱还是钱包里面的钱？	流水和余额的区别
什么情况下改派不	改派有什么处罚
我可以取消现在的租赁公司，入本地滴滴公司吗？	我想更换租赁公司
您好我的星级怎么停留在4.7星，别人好评率比我低的多都是4.9星	星级如何评定
您好，我今天从金地明悦到夫子庙实际路程是23公里，车费只算了3.4公里，所以请核准!	计费错误
我要更换电话号码怎么弄	如何更改电话号码
昨天上午提的1030块钱。现在还没到账	提现到账时间
客服用微信向我支付怎么办	如何支付订单
如果超载了，司机有权不出车吗	超载怎么处理
今天搞活动吗？为什么低消只有8元，以往都是9元的	什么是动态调价
您好，今天早高峰跑了一单，有超级任务奖励，说9小时内再完成还有任务奖励，我中午跑了四单，没有收到奖励。请问怎么回事？	未收到奖励
都俩个小时了不给派单了	系统未播报订单
没有所谓的过桥费为什么乘客需要支付	司乘双方对费用有疑问怎么办
客人问可以给打发票吗？	如何申请发票
到时间接不到乘客，系统提示无条件改派，改派了投诉咋办	改派有什么处罚
专车还能和快车一样正常接单嘛	升专车以后是不是就不能拉快车单子了
我在天津需要怎么修改车辆呢	如何更改资料
车辆所在城市怎么修改？车辆能跨城市接单吗？	城市如何更改
干几单成交率才会提升	怎么提高成交率
可以提现到微信号吗	如何提现
能不能把称呼改掉	如何更改资料
空驶补偿多久能到位	补偿到账时间
那请问要过多久才能得到补偿啦	补偿到账时间
快车下方只有估计金额，没有慢必赔的具体细则	快车慢必赔活动
接单了，但是对方电话打不通。	乘客失联
推荐状劢咋还没给我呀	未收到推荐奖励
没有。 我已经把声音开了	软件无声音
两点那个预约单子还没取消，客户不需要了	如何取消订单
无法支付怎么办，支付时出现，支付繁忙	为什么不能支付
以前一直是当天到账的	提现到账时间
我想咨询一下 乘客不要司机去接了 但是他订单没取消 我们怎么办	订单被取消司机端未显示
您好  我的新人奖会在什么时候发放	新人奖活动周期
遇到不支付车费多次催款无果的怎么办？	乘客未支付
我介绍朋友做滴滴车主，你们的奖励200元在哪里领呀	未收到推荐奖励
如何查询预约订单明细？	如何查询订单状态
昨天都4.8今天怎么4.7了	如何提升星级
我这个账户是快车吧	如何查询个人信息
我一怎变更车	如何更改车辆信息
请问4.9星升到5星需要多少单？	如何提升星级
外地牌照现在还有奖励嘛？	异地车牌是否有奖励活动
我今天早上7点多的订单高峰奖励不对啊	收到奖励金额不正确
滴滴专车怎么更改电话号码	如何更改电话号码
为什么车费降价了 跑车都没钱赚	如何增加司机收入
提款时间已经超过了48小时，到底啥时间能到账呀？	提现到账时间
如何绑定支付宝账号	乘客怎么绑定支付宝
本来就赚不到钱为什么还要降价。	如何增加司机收入
刚打了个快车，车费中含3元的其它服务费，这是什么东西？车费总价32	什么是其他费用
七天封禁时间以后过去了，为什么还不不能接单	账号封禁时间已到未解除的原因
怎么才能把钱拿到司机手里了	如何提现
为什么我昨天平逢时间做了10那个抢单奖还没有发给我的！只发了早晚高峰抢单奖	未收到奖励
怎么能付款，充值	如何支付订单
提现能全部订单吗	可以提什么时候的钱
一般钱提现多少个工作日可以到账？	提现到账时间
